model,arm,checkpoint,probe_name,layer,native_object,n_samples,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_epsilon,c5_module_count,c5_source_probe_names,p_k4,p_k8,p_k16,p_k32,pk_track,cumulative_kl_base_to_current,absolute_delta_nll_cumulative,delta_nll_cumulative,sample_count,track,is_opd,row_id
qwen,sft,5,E_ood,18,raw residual-stream sample means and centered covariance,32,1.124152850236756,1.0250809296793288,0.9876765267458032,0.994231002883272,0.9955819208916408,0.9200966954231262,-0.0290081109851598,0.99995219707489,-0.0002735978112175,5,E_ood,2.3744763666400104e-06,7.944224372684922e-06,3.138709884556842e-05,0.000126645263143,qwen_existing_deployed_effective,0.001061813927663,0.0240402994095347,0.0004597606475726,128,qwen_d4_merged_state,0,19
qwen,sft,20,E_general,18,raw residual-stream sample means and centered covariance,32,1.085684152142357,1.0149205348466224,0.9926207791076728,0.995134342057266,0.996297277777799,0.9371904134750366,-0.0072828452102839,0.9999893307685852,0.00041109286822956,5,E_general,3.3922384220984114e-06,9.83136672922618e-06,4.21290226638189e-05,0.0001600722321849,qwen_existing_deployed_effective,0.0020883130046058,0.0465593152039218,-0.0052390519549589,128,qwen_d4_merged_state,0,20
qwen,sft,20,E_if,18,raw residual-stream sample means and centered covariance,32,1.0180353937540452,1.0027623524443203,0.9986216657682844,0.9989420639593442,0.9992473101067952,0.9904041290283204,-0.0046965344808995,0.9999906420707704,0.00034246575342463997,5,E_if,3.3922384220984114e-06,9.83136672922618e-06,4.21290226638189e-05,0.0001600722321849,qwen_existing_deployed_effective,0.0031355704732201,0.0615857394408716,-0.015846782355021,541,qwen_d4_merged_state,0,21
qwen,sft,20,E_math,18,raw residual-stream sample means and centered covariance,32,1.024943150051311,1.003815371091153,0.9980977397141912,0.9984484053627966,0.998870247163608,0.9569709300994872,0.0971614122390747,0.999995231628418,-0.0005919133106055199,5,E_math,3.3922384220984114e-06,9.83136672922618e-06,4.21290226638189e-05,0.0001600722321849,qwen_existing_deployed_effective,0.0031741821172763,0.0432605044995434,-0.0031487457114853,500,qwen_d4_merged_state,0,22
qwen,sft,20,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1229028639938128,1.0245113512610693,0.9879527673860322,0.99418088483598,0.9955431206482744,0.9158248901367188,-0.0295998677611351,0.9901294112205504,-0.0011971508079093199,5,E_ood,3.3922384220984114e-06,9.83136672922618e-06,4.21290226638189e-05,0.0001600722321849,qwen_existing_deployed_effective,0.002208744451309,0.0371014331103651,-0.003179545385592,128,qwen_d4_merged_state,0,23
qwen,sft,40,E_general,18,raw residual-stream sample means and centered covariance,32,1.08670297332658,1.015125136612541,0.9925206710088116,0.995084288255778,0.9962578560691102,0.9366374611854552,-0.0073760263621807,0.9999790191650392,-0.000125786163522,5,E_general,6.0191293706728696e-06,1.5768733646837063e-05,6.239331664151322e-05,0.0002004551871712,qwen_existing_deployed_effective,0.0060830672209704,0.0718294093385338,-0.0041653781231616,128,qwen_d4_merged_state,0,24
qwen,sft,40,E_if,18,raw residual-stream sample means and centered covariance,32,1.018237047252609,1.002796380627189,0.9986047218274496,0.9989305939285849,0.9992394124851826,0.9903060793876648,-0.0042716399766504,0.9999538660049438,-0.00404589791076216,5,E_if,6.0191293706728696e-06,1.5768733646837063e-05,6.239331664151322e-05,0.0002004551871712,qwen_existing_deployed_effective,0.0140349230420897,0.1195923464851326,-0.0196918449876743,541,qwen_d4_merged_state,0,25
qwen,sft,40,E_math,18,raw residual-stream sample means and centered covariance,32,1.0252551477810066,1.0038657016807966,0.998072718269402,0.9984280592900616,0.9988550356417484,0.9565715789794922,0.0972786247730255,0.9999880194664,-0.00222139274073126,5,E_math,6.0191293706728696e-06,1.5768733646837063e-05,6.239331664151322e-05,0.0002004551871712,qwen_existing_deployed_effective,0.0104560177612584,0.0739074094509705,0.0024963179761543,500,qwen_d4_merged_state,0,26
qwen,sft,40,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1251750120231852,1.0251128377981895,0.9876618058109162,0.9941132018371774,0.9954890215374412,0.9152714014053344,-0.0296230781823396,0.9899406433105468,-0.00325333544714922,5,E_ood,6.0191293706728696e-06,1.5768733646837063e-05,6.239331664151322e-05,0.0002004551871712,qwen_existing_deployed_effective,0.0058878072977677,0.058759479506989,-0.0077570666353494,128,qwen_d4_merged_state,0,27
qwen,sft,160,E_general,18,raw residual-stream sample means and centered covariance,32,1.0862013181317698,1.01513709500336,0.9925146410117832,0.9951728730896786,0.9963272947692026,0.9374983906745912,-0.0072849025018513,0.9997705817222596,0.0002009499261576,5,E_general,7.634195120382564e-06,2.123674208373164e-05,7.841336784101706e-05,0.000252632401368,qwen_existing_deployed_effective,0.0352649032720364,0.1364397915895097,0.0219267560423759,128,qwen_d4_merged_state,0,28
