model,arm,checkpoint,probe_name,layer,native_object,n_samples,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0
qwen,offkd,40,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1263585534784106,1.0257210617215404,0.987366881112664,0.9941844612450264,0.995543647997953,0.9186710119247437,-0.029045240953564644,0.9946475028991699
qwen,offkd,160,E_general,18,raw residual-stream sample means and centered covariance,32,1.083638350507992,1.014669241242391,0.9927435493716973,0.9953244714530004,0.9964543492279637,0.9388788938522339,-0.007790430448949337,0.9996002912521362
qwen,offkd,160,E_if,18,raw residual-stream sample means and centered covariance,32,1.0173047479959998,1.002646006605322,0.9986796039921743,0.998992531179535,0.999284759801116,0.9905922412872314,-0.004457398783415556,0.9997455477714539
qwen,offkd,160,E_math,18,raw residual-stream sample means and centered covariance,32,1.0241088226663813,1.003682699358782,0.9981637051678232,0.9985063596064396,0.9989155463627116,0.9585466384887695,0.09352462738752365,0.9997400641441345
qwen,offkd,160,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1194647111479947,1.0241485746814551,0.9881267944558002,0.9944925335724305,0.9957937055311982,0.9180856347084045,-0.02893168292939663,0.9535146355628967
qwen,seqkd,5,E_general,18,raw residual-stream sample means and centered covariance,32,1.0854347211357465,1.0148805766330495,0.992640318348643,0.9951529425521166,0.9963118876222832,0.9372142553329468,-0.007570116315037012,0.9999770522117615
qwen,seqkd,5,E_if,18,raw residual-stream sample means and centered covariance,32,1.017999659182858,1.0027566487081794,0.998624505905011,0.9989443776616052,0.9992492779867702,0.9904027581214905,-0.005180468317121267,0.999983012676239
qwen,seqkd,5,E_math,18,raw residual-stream sample means and centered covariance,32,1.0248786395023184,1.0038049920365637,0.998102899806961,0.998452688201161,0.9988735662045042,0.9569598436355591,0.09660247713327408,0.999994158744812
qwen,seqkd,5,E_ood,18,raw residual-stream sample means and centered covariance,32,1.12248641642296,1.0243628166950252,0.9880247530756108,0.9941791239427107,0.9955413022124434,0.9152753949165344,-0.029538054019212723,0.989595353603363
qwen,seqkd,20,E_general,18,raw residual-stream sample means and centered covariance,32,1.0866526994662555,1.015140119075031,0.9925133097157615,0.9951008288143405,0.9962734464361171,0.9364994168281555,-0.007367237471044064,0.9999534487724304
qwen,seqkd,20,E_if,18,raw residual-stream sample means and centered covariance,32,1.0181075748376445,1.0027742869694265,0.9986157229362917,0.9989383040168145,0.9992447085522735,0.9903454780578613,-0.0037653502076864243,0.9999176859855652
qwen,seqkd,20,E_math,18,raw residual-stream sample means and centered covariance,32,1.0252307427885958,1.0038609039559316,0.9980751033621819,0.9984297290927335,0.9988554188886852,0.9566265940666199,0.0972389206290245,0.9999388456344604
qwen,seqkd,20,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1249364811695006,1.025016576609533,0.987708438583279,0.9941076446666681,0.9954844086557445,0.9137998819351196,-0.02984054945409298,0.9849898219108582
qwen,seqkd,40,E_general,18,raw residual-stream sample means and centered covariance,32,1.086760407185636,1.0151799414875382,0.9924938077601175,0.9951040894831018,0.9962789711767175,0.936957597732544,-0.007618588395416737,0.999937117099762
qwen,seqkd,40,E_if,18,raw residual-stream sample means and centered covariance,32,1.0181739619140429,1.0027855023145913,0.9986101383447143,0.9989349973676304,0.9992416094724151,0.9903037548065186,-0.0047601074911653996,0.9999536871910095
qwen,seqkd,40,E_math,18,raw residual-stream sample means and centered covariance,32,1.0253096495436151,1.0038743857459713,0.9980684012348667,0.9984247058077153,0.9988518097600171,0.9568231105804443,0.09668324142694473,0.999991774559021
qwen,seqkd,40,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1244317908926733,1.0248696173061287,0.9877795590423244,0.9941189293037138,0.9954935696450907,0.9143966436386108,-0.029688289389014244,0.9840875267982483
qwen,seqkd,160,E_general,18,raw residual-stream sample means and centered covariance,32,1.0826004373407445,1.0142616533962265,0.9929434234690547,0.9952634273529258,0.9964083466894581,0.9389060139656067,-0.007423120085150003,0.9994820356369019
qwen,seqkd,160,E_if,18,raw residual-stream sample means and centered covariance,32,1.0174043836390192,1.0026630582905205,0.9986711117144732,0.9989870397374052,0.9992810335453963,0.9905908107757568,-0.004643247928470373,0.9998713731765747
qwen,seqkd,160,E_math,18,raw residual-stream sample means and centered covariance,32,1.0241279458908543,1.0036863920912986,0.99816186892008,0.9985046604303155,0.9989148403103348,0.9584555625915527,0.09579319506883621,0.9997586607933044
