arm,centered_anisotropy,layer,linear_cka_vs_step0,n_samples,native_object,normalized_entropy_effective_rank,participation_ratio,probe,raw_anisotropy,step,top1_explained_share,top32_explained_share,top8_explained_share
sft,0.01434685755521059,7,0.9999917149543762,541,raw residual-stream sample means and centered covariance,1.0249151393423273,1.003597762381841,E_if,0.9850366711616516,20,0.9982059468684533,0.9988088684400939,0.9985151477499216
sft,0.012136819772422314,14,0.9999819397926331,541,raw residual-stream sample means and centered covariance,1.0588330052238206,1.0090541268100572,E_if,0.9642078876495361,20,0.9955033765442184,0.9970561087462356,0.9962742879310738
sft,0.0063927737064659595,21,0.9997739195823669,541,raw residual-stream sample means and centered covariance,1.2334717424530812,1.038358548602438,E_if,0.9305008053779602,20,0.9813540018402841,0.9881595037608897,0.9849014260203771
sft,0.0023120022378861904,7,0.9999885559082031,128,raw residual-stream sample means and centered covariance,1.0918275674756461,1.0138951639780869,E_general,0.8774952292442322,20,0.9931239051849794,0.9948844248985199,0.9939150695168508
sft,-0.0025913710705935955,14,0.9999674558639526,128,raw residual-stream sample means and centered covariance,1.2206317548299255,1.0349681996759796,E_general,0.7936645746231079,20,0.9829608262261823,0.9878968150877157,0.9851466490200115
sft,-0.0067959739826619625,21,0.9998433589935303,128,raw residual-stream sample means and centered covariance,2.1069498342142685,1.1659172400421305,E_general,0.7420732378959656,20,0.9260993877814223,0.9499365114905856,0.9380633462045769
sft,-0.010467144660651684,7,0.9953732490539551,32,raw residual-stream sample means and centered covariance,171.47391866250453,38.085087596211324,S_math,0.4870082437992096,40,0.12386463942705087,0.5467931209923941,0.3390804656829867
sft,-0.015491942875087261,14,0.9948640465736389,32,raw residual-stream sample means and centered covariance,174.538812135757,32.69790023271522,S_math,0.4944126307964325,40,0.14927258453251235,0.5363695249312753,0.3317886008179079
sft,-0.016826946288347244,21,0.9932311773300171,32,raw residual-stream sample means and centered covariance,187.1187769620715,46.8680091370882,S_math,0.6506672501564026,40,0.10913763847065835,0.5248380877887232,0.3047765828453246
sft,0.08312036097049713,7,0.9999901652336121,32,raw residual-stream sample means and centered covariance,1.0221885424799948,1.0033528415073292,E_math,0.9588703513145447,40,0.9983277708623394,0.999003314594202,0.9986335224850742
sft,0.06625670939683914,14,0.9999890923500061,32,raw residual-stream sample means and centered covariance,1.0456631988111575,1.0073241827304353,E_math,0.9215908646583557,40,0.9963578382311328,0.9979076292203622,0.9970769303073922
sft,0.03444770723581314,21,0.9999588131904602,32,raw residual-stream sample means and centered covariance,1.1750261941815228,1.0307535871892584,E_math,0.8727385997772217,40,0.9849676458435888,0.9918662781222767,0.9883932146541348
sft,-0.012475180439651012,7,0.9999933838844299,30,raw residual-stream sample means and centered covariance,1.056581222997716,1.00892985632807,E_math_hard_v2,0.8172706961631775,40,0.9955646796548071,0.9972341615482574,0.9963232999165835
sft,-0.01185704581439495,14,0.9999874830245972,30,raw residual-stream sample means and centered covariance,1.1197628364271868,1.019936641616234,E_math_hard_v2,0.7918388247489929,40,0.9901778470690175,0.9941036190705339,0.9921231263985222
