model,family,arm,checkpoint,step,layer,module,source_rank_k,mask_density_alpha,real_overlap_lift,null_overlap_lift_mean,null_overlap_lift_std,null_update_count_mean,delta_singular_values_used,z_tpnt,spectrum_null_seeds
llama,llama3_2_3b,opd,20,20,14,self_attn.k_proj,50,0.1,0.5208729045734533,0.5288616831491265,0.0030120296943479,1079022.5,1024,-2.652290776104924,10
llama,llama3_2_3b,opd,20,20,14,self_attn.o_proj,16,0.01,0.7280767400665693,0.7374656045591041,0.0095080373793432,4992747.8,3072,-0.9874660897876414,10
llama,llama3_2_3b,opd,20,20,14,self_attn.o_proj,16,0.1,0.9092615517924194,0.9136188208367862,0.003942827613258,4992747.8,3072,-1.1051127443957245,10
llama,llama3_2_3b,opd,20,20,14,self_attn.o_proj,32,0.01,0.6072530937109015,0.6237531152726041,0.0082201259065277,4992747.8,3072,-2.0072711475866343,10
llama,llama3_2_3b,opd,20,20,14,self_attn.o_proj,32,0.1,0.863187073705646,0.8703008403410019,0.003274295771666,4992747.8,3072,-2.1726096637067545,10
llama,llama3_2_3b,opd,20,20,14,self_attn.o_proj,50,0.01,0.5200634821542754,0.5350893659700946,0.0068341018602241,4992747.8,3072,-2.198662548955103,10
llama,llama3_2_3b,opd,20,20,14,self_attn.o_proj,50,0.1,0.8237746969672695,0.8309674448936656,0.0031059069944507,4992747.8,3072,-2.315828496876161,10
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,16,0.01,0.3875404511269947,0.3653829133067931,0.0087400961685714,3933887.4,3072,2.5351594985737025,10
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,16,0.1,0.6872555374064372,0.6714699139237469,0.0050826896618109,3933887.4,3072,3.105761817664458,10
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,32,0.01,0.2809783320943179,0.2775276002798316,0.0081010646816402,3933887.4,3072,0.4259602842459581,10
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,32,0.1,0.6201836430866235,0.6120766356493487,0.0048841080595881,3933887.4,3072,1.659874707595748,10
