model,arm,checkpoint,source_rank_k,mask_density_alpha,mean_overlap_lift,mean_coverage
qwen,sft,20,50,0.05,0.5403746454580489,0.027018732272902413
qwen,sft,20,50,0.1,0.649424040028695,0.06494240400286946
qwen,sft,20,50,0.2,0.759762538856954,0.15195250777139077
qwen,sft,160,16,0.01,0.6951092996017117,0.006951079072578214
qwen,sft,160,16,0.05,0.8541649839851854,0.04270824919925921
qwen,sft,160,16,0.1,0.90544971098357,0.09054497109835694
qwen,sft,160,16,0.2,0.9451009158496474,0.18902018316992944
qwen,sft,160,32,0.01,0.6208920069461107,0.006208909823663914
qwen,sft,160,32,0.05,0.8003789019206514,0.04001894509603253
qwen,sft,160,32,0.1,0.8643866842732215,0.08643866842732208
qwen,sft,160,32,0.2,0.9171675806253343,0.18343351612506684
qwen,sft,160,50,0.01,0.5710920434470513,0.005710912111265572
qwen,sft,160,50,0.05,0.756878998617309,0.03784394993086541
qwen,sft,160,50,0.1,0.8289884375073608,0.08289884375073601
qwen,sft,160,50,0.2,0.8915754314300486,0.17831508628600967
qwen,sft,320,16,0.01,0.7440587747003432,0.0074405720405991286
qwen,sft,320,16,0.05,0.8806985238264701,0.04403492619132345
qwen,sft,320,16,0.1,0.923499265354972,0.09234992653549713
qwen,sft,320,16,0.2,0.9561799961648288,0.19123599923296575
qwen,sft,320,32,0.01,0.6813341696333425,0.0068133291235200994
qwen,sft,320,32,0.05,0.8375575810185499,0.04187787905092744
qwen,sft,320,32,0.1,0.8909060653569182,0.08909060653569179
qwen,sft,320,32,0.2,0.9338802058219509,0.18677604116439014
qwen,sft,320,50,0.01,0.6382080911622481,0.006382070293359757
qwen,sft,320,50,0.05,0.8020742690207133,0.04010371345103563
qwen,sft,320,50,0.1,0.862144382611871,0.08621443826118705
qwen,sft,320,50,0.2,0.9135601383017165,0.18271202766034325
