model,layer,arm,checkpoint,source_rank_k,mask_density_alpha,mean_overlap_lift,mean_pabs_joint_cos,mean_nss_l1_top32,headline_mean_overlap_lift,headline_mean_pabs_joint_cos,headline_mean_nss_l1_top32,overlap_lift_minus_headline,pabs_cos_minus_headline,nss_l1_minus_headline,overlap_rank_desc
llama,7,sft,160,32,0.01,0.7329010466449188,0.9997510650558324,6.750366022792343e-05,0.7456362065109667,0.9997539250646216,9.390297575982995e-05,-0.012735159866047896,-2.860008789129509e-06,-2.6399315531906514e-05,1.0
llama,7,offkd,160,32,0.1,0.8728400109757126,0.9997560196103824,5.654475999990541e-05,0.875733792782904,0.9997849858274117,6.42333994136533e-05,-0.0028937818071913535,-2.8966217029302577e-05,-7.688639413747886e-06,3.0
llama,7,opd,160,32,0.1,0.8748865816390099,0.9997615866807037,6.0948744930962015e-05,0.8784457086545198,0.9997736966015373,6.620528949362424e-05,-0.0035591270155098664,-1.210992083355844e-05,-5.256544562662228e-06,2.0
llama,7,seqkd,160,32,0.1,0.8705844005551631,0.9997640960815717,5.7764193458677475e-05,0.8750477962069502,0.9997870976611573,6.103130726453334e-05,-0.004463395651787105,-2.30015795855687e-05,-3.267113805855867e-06,4.0
llama,7,sft,160,32,0.1,0.8980617106217795,0.9997510650558324,6.750366022792343e-05,0.909987382923907,0.9997539250646216,9.390297575982995e-05,-0.011925672302127488,-2.860008789129509e-06,-2.6399315531906514e-05,1.0
llama,7,offkd,160,50,0.01,0.6271316181688533,0.9997560196103824,5.654475999990541e-05,0.6059438001080772,0.9997849858274117,6.42333994136533e-05,0.021187818060776076,-2.8966217029302577e-05,-7.688639413747886e-06,3.0
llama,7,opd,160,50,0.01,0.6318165217058465,0.9997615866807037,6.0948744930962015e-05,0.60852385931625,0.9997736966015373,6.620528949362424e-05,0.023292662389596486,-1.210992083355844e-05,-5.256544562662228e-06,2.0
llama,7,seqkd,160,50,0.01,0.6194277575137578,0.9997640960815717,5.7764193458677475e-05,0.6044950545375324,0.9997870976611573,6.103130726453334e-05,0.014932702976225398,-2.30015795855687e-05,-3.267113805855867e-06,4.0
llama,7,sft,160,50,0.01,0.6910539638702087,0.9997510650558324,6.750366022792343e-05,0.6946735991577251,0.9997539250646216,9.390297575982995e-05,-0.0036196352875164095,-2.860008789129509e-06,-2.6399315531906514e-05,1.0
llama,7,offkd,160,50,0.1,0.8401947854465102,0.9997560196103824,5.654475999990541e-05,0.8456602195138524,0.9997849858274117,6.42333994136533e-05,-0.005465434067342234,-2.8966217029302577e-05,-7.688639413747886e-06,3.0
