model,checkpoint,probe_name,epsilon,metric,opd_deepest,deepest_arm,opd_value,nearest_offline_value,opd_minus_nearest_offline_margin,arm_values_json
llama,80,E_if,0.025,absolute_contraction,True,opd,26.571428571428573,14.142857142857142,12.42857142857143,"{""offkd"": 10.142857142857142, ""opd"": 26.571428571428573, ""seqkd"": 6.714285714285714, ""sft"": 14.142857142857142}"
llama,80,E_if,0.025,stable_rank_contraction,True,opd,0.2819088202206986,0.18546147550820785,0.09644734471249072,"{""offkd"": 0.06383933171962582, ""opd"": 0.2819088202206986, ""seqkd"": 0.020622716772767977, ""sft"": 0.18546147550820785}"
llama,80,E_if,0.025,entropy_effective_rank_contraction,True,opd,15.339520339339895,9.864658351062634,5.474861988277262,"{""offkd"": 5.025072744124544, ""opd"": 15.339520339339895, ""seqkd"": 3.503050010682347, ""sft"": 9.864658351062634}"
llama,80,E_math,0.025,absolute_contraction,True,opd,17.0,9.571428571428571,7.428571428571429,"{""offkd"": 3.857142857142857, ""opd"": 17.0, ""seqkd"": 1.8571428571428572, ""sft"": 9.571428571428571}"
llama,80,E_math,0.025,stable_rank_contraction,True,opd,0.3213009828002367,0.25839104331336105,0.06290993948687568,"{""offkd"": 0.10822261462918334, ""opd"": 0.3213009828002367, ""seqkd"": 0.0882039210954196, ""sft"": 0.25839104331336105}"
llama,80,E_math,0.025,entropy_effective_rank_contraction,True,opd,8.411373096471188,6.054543202883884,2.356829893587304,"{""offkd"": 1.9332003114631051, ""opd"": 8.411373096471188, ""seqkd"": 1.102743194868952, ""sft"": 6.054543202883884}"
llama,80,E_ood,0.025,absolute_contraction,True,opd,27.571428571428573,10.428571428571429,17.142857142857146,"{""offkd"": 8.428571428571429, ""opd"": 27.571428571428573, ""seqkd"": 5.285714285714286, ""sft"": 10.428571428571429}"
llama,80,E_ood,0.025,stable_rank_contraction,True,opd,0.3886431110044346,0.2063783002852073,0.18226481071922732,"{""offkd"": 0.1463777152961612, ""opd"": 0.3886431110044346, ""seqkd"": 0.12730283153561378, ""sft"": 0.2063783002852073}"
llama,80,E_ood,0.025,entropy_effective_rank_contraction,True,opd,15.164237103696623,7.319774388871598,7.844462714825025,"{""offkd"": 4.975462889470604, ""opd"": 15.164237103696623, ""seqkd"": 3.697940556049871, ""sft"": 7.319774388871598}"
llama,20,E_general,0.05,absolute_contraction,True,opd,9.0,2.857142857142857,6.142857142857142,"{""offkd"": 0.5714285714285714, ""opd"": 9.0, ""seqkd"": -0.5714285714285714, ""sft"": 2.857142857142857}"
llama,20,E_general,0.05,stable_rank_contraction,True,opd,0.5002475293931747,0.14665406635594044,0.35359346303723427,"{""offkd"": 0.043315018039799265, ""opd"": 0.5002475293931747, ""seqkd"": -0.001484718717614226, ""sft"": 0.14665406635594044}"
llama,20,E_general,0.05,entropy_effective_rank_contraction,True,opd,11.30931078277323,3.3674075545521895,7.94190322822104,"{""offkd"": 0.25196058623098977, ""opd"": 11.30931078277323, ""seqkd"": -0.7636735651308787, ""sft"": 3.3674075545521895}"
llama,20,E_if,0.05,absolute_contraction,True,opd,16.0,7.0,9.0,"{""offkd"": 7.0, ""opd"": 16.0, ""seqkd"": 7.0, ""sft"": 6.571428571428571}"
llama,20,E_if,0.05,stable_rank_contraction,True,opd,0.3017816450859101,0.07825181560983786,0.22352982947607225,"{""offkd"": 0.040539353557817064, ""opd"": 0.3017816450859101, ""seqkd"": 0.029346395085712525, ""sft"": 0.07825181560983786}"
llama,20,E_if,0.05,entropy_effective_rank_contraction,True,opd,13.148919313652783,4.448850851819117,8.700068461833666,"{""offkd"": 4.119632978173855, ""opd"": 13.148919313652783, ""seqkd"": 3.9679016530018587, ""sft"": 4.448850851819117}"
llama,20,E_math,0.05,absolute_contraction,True,opd,11.571428571428571,4.571428571428571,7.0,"{""offkd"": 1.1428571428571428, ""opd"": 11.571428571428571, ""seqkd"": 0.2857142857142857, ""sft"": 4.571428571428571}"
llama,20,E_math,0.05,stable_rank_contraction,True,opd,0.42825580110971956,0.12107451631708407,0.3071812847926355,"{""offkd"": 0.01862384420478978, ""opd"": 0.42825580110971956, ""seqkd"": -0.0028707477652032093, ""sft"": 0.12107451631708407}"
llama,20,E_math,0.05,entropy_effective_rank_contraction,True,opd,8.991928488069558,2.925331839912488,6.06659664815707,"{""offkd"": 0.37730483269796344, ""opd"": 8.991928488069558, ""seqkd"": -0.1578089698459524, ""sft"": 2.925331839912488}"
llama,20,E_ood,0.05,absolute_contraction,True,opd,15.714285714285714,5.571428571428571,10.142857142857142,"{""offkd"": 2.2857142857142856, ""opd"": 15.714285714285714, ""seqkd"": 1.4285714285714286, ""sft"": 5.571428571428571}"
llama,20,E_ood,0.05,stable_rank_contraction,True,opd,0.38702886176700874,0.07915533587519873,0.30787352589181,"{""offkd"": 0.039294127319798235, ""opd"": 0.38702886176700874, ""seqkd"": 0.02989902424233648, ""sft"": 0.07915533587519873}"
llama,20,E_ood,0.05,entropy_effective_rank_contraction,True,opd,12.076215422350087,2.9718943582186874,9.1043210641314,"{""offkd"": 1.3437435425605564, ""opd"": 12.076215422350087, ""seqkd"": 1.0365885644707538, ""sft"": 2.9718943582186874}"
llama,40,E_general,0.05,absolute_contraction,True,opd,11.571428571428571,3.5714285714285716,8.0,"{""offkd"": 1.4285714285714286, ""opd"": 11.571428571428571, ""seqkd"": -0.42857142857142855, ""sft"": 3.5714285714285716}"
llama,40,E_general,0.05,stable_rank_contraction,True,opd,0.47285444433758367,0.22693373637993813,0.24592070795764553,"{""offkd"": 0.05121036623427914, ""opd"": 0.47285444433758367, ""seqkd"": -0.027694231732443755, ""sft"": 0.22693373637993813}"
