model,arm,checkpoint,probe_name,layer,epsilon,tail_at_r,tail_at_r_minus_1,margin_below,margin_above,two_sided_tail_margin,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,zero_probability_count,module_count
llama,seqkd,20,E_math,14,0.025,0.02317180281367003,0.026204802125836122,0.026828197186329977,-0.02379519787416388,-0.02379519787416388,1.3033373565175066,3.3249414967090476,0.7791811774968654,0.9385437485135574,0.0,7
llama,seqkd,20,E_math,14,0.05,0.047619516783046996,0.05348665774139842,0.002380483216953003,0.003486657741398415,0.001424389749365207,1.3033373565175066,3.3249414967090476,0.7791811774968654,0.9385437485135574,0.0,7
llama,seqkd,20,E_math,14,0.1,0.09073353345275029,0.23510781794776012,-0.04073353345275029,0.1851078179477601,-0.04073353345275029,1.3033373565175066,3.3249414967090476,0.7791811774968654,0.9385437485135574,0.0,7
llama,seqkd,20,E_ood,14,0.01,0.008743844635032158,0.0110615944295067,0.04125615536496784,-0.03893840557049331,-0.03893840557049331,1.4327958252682491,4.307045712999699,0.7089697354168625,0.9159307490327336,0.0,7
llama,seqkd,20,E_ood,14,0.025,0.022866259181328567,0.02622985464489144,0.027133740818671433,-0.023770145355108567,-0.023770145355108567,1.4327958252682491,4.307045712999699,0.7089697354168625,0.9159307490327336,0.0,7
llama,seqkd,20,E_ood,14,0.05,0.04678328845417002,0.0521911007282611,0.0032167115458299786,0.0021911007282610965,0.0015452910798332592,1.4327958252682491,4.307045712999699,0.7089697354168625,0.9159307490327336,0.0,7
llama,seqkd,20,E_ood,14,0.1,0.09358886785428036,0.10487534496002517,-0.04358886785428035,0.054875344960025156,-0.04358886785428035,1.4327958252682491,4.307045712999699,0.7089697354168625,0.9159307490327336,0.0,7
llama,seqkd,40,E_general,14,0.01,0.008876849464445882,0.011801833955792072,0.04112315053555412,-0.038198166044207935,-0.038198166044207935,1.6167864280009367,5.829781142980472,0.637569477095159,0.8826134014449102,0.0,7
llama,seqkd,40,E_general,14,0.025,0.022803632297777227,0.02686394331847994,0.02719636770222278,-0.02313605668152006,-0.02313605668152006,1.6167864280009367,5.829781142980472,0.637569477095159,0.8826134014449102,0.0,7
llama,seqkd,40,E_general,14,0.05,0.04737086645534958,0.05314008420894578,0.002629133544650424,0.0031400842089457748,0.0019280844865494948,1.6167864280009367,5.829781142980472,0.637569477095159,0.8826134014449102,0.0,7
llama,seqkd,40,E_general,14,0.1,0.09526832937553785,0.10552302700892269,-0.045268329375537854,0.055523027008922685,-0.045268329375537854,1.6167864280009367,5.829781142980472,0.637569477095159,0.8826134014449102,0.0,7
