model,arm,checkpoint,probe_name,layer,epsilon,module_count,displacement_rank,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,tail_at_r,two_sided_tail_margin
llama,seqkd,20,E_ood,14,0.025,7,21.142857142857142,1.4327958252682491,4.307045712999699,0.7089697354168625,0.9159307490327334,0.022866259181328515,0.0009905353176927572
llama,seqkd,20,E_ood,14,0.05,7,15.285714285714286,1.4327958252682491,4.307045712999699,0.7089697354168625,0.9159307490327334,0.04678328845416998,0.0015452910798332
llama,seqkd,20,E_ood,14,0.1,7,8.571428571428571,1.4327958252682491,4.307045712999699,0.7089697354168625,0.9159307490327334,0.0935888678542803,0.003651626015284286
llama,seqkd,40,E_general,14,0.01,7,27.857142857142858,1.616786428000937,5.8297811429804725,0.637569477095159,0.8826134014449102,0.00887684946444583,0.0006574111828984856
llama,seqkd,40,E_general,14,0.025,7,23.571428571428573,1.616786428000937,5.8297811429804725,0.637569477095159,0.8826134014449102,0.022803632297777172,0.001350489871239657
llama,seqkd,40,E_general,14,0.05,7,18.285714285714285,1.616786428000937,5.8297811429804725,0.637569477095159,0.8826134014449102,0.047370866455349527,0.0019280844865494288
llama,seqkd,40,E_general,14,0.1,7,11.571428571428571,1.616786428000937,5.8297811429804725,0.637569477095159,0.8826134014449102,0.0952683293755378,0.003020861115187143
llama,seqkd,40,E_if,14,0.01,7,26.0,1.4480702896607007,4.10443626873777,0.7286905558021175,0.9214550821491571,0.00862171343974383,0.0003191100300199337
llama,seqkd,40,E_if,14,0.025,7,20.142857142857142,1.4480702896607007,4.10443626873777,0.7286905558021175,0.9214550821491571,0.023105050273607815,0.0009479303274293572
llama,seqkd,40,E_if,14,0.05,7,13.714285714285714,1.4480702896607007,4.10443626873777,0.7286905558021175,0.9214550821491571,0.04877107712559846,0.0010303934195505032
