model,arm,checkpoint,probe_name,layer,epsilon,module_count,centered_state_rank,centered_state_rank_base,centered_absolute_contraction,centered_relative_contraction_equal7,uncentered_state_rank,uncentered_state_rank_base,uncentered_absolute_contraction,uncentered_relative_contraction_equal7
llama,seqkd,20,E_general,14,0.025,7,1282.0,1281.4285714285713,-0.5714285714285714,0.00021359985384922876,1050.7142857142858,1050.7142857142858,0.0,0.0017383925472503733
llama,seqkd,20,E_general,14,0.05,7,991.0,990.2857142857143,-0.7142857142857143,0.0003599676135212857,776.8571428571429,776.2857142857143,-0.5714285714285714,0.00026416738961503505
llama,seqkd,20,E_general,14,0.1,7,679.7142857142857,679.1428571428571,-0.5714285714285714,0.000991023948788436,517.5714285714286,517.2857142857143,-0.2857142857142857,0.0022688107165227856
llama,seqkd,20,E_if,14,0.01,7,1538.7142857142858,1543.7142857142858,5.0,0.0037439780351384185,1312.5714285714287,1319.857142857143,7.285714285714286,0.007096852404667794
llama,seqkd,20,E_if,14,0.025,7,1194.142857142857,1200.5714285714287,6.428571428571429,0.006300700668534901,959.2857142857143,966.7142857142857,7.428571428571429,0.009986873025779283
llama,seqkd,20,E_if,14,0.05,7,895.8571428571429,902.2857142857143,6.428571428571429,0.008122838191729655,684.2857142857143,691.2857142857143,7.0,0.014116381407210127
llama,seqkd,20,E_if,14,0.1,7,587.2857142857143,593.1428571428571,5.857142857142857,0.010585210428367976,430.14285714285717,435.7142857142857,5.571428571428571,0.014978613583656918
llama,seqkd,20,E_math,14,0.01,7,834.8571428571429,835.1428571428571,0.2857142857142857,0.0007601843277819977,700.8571428571429,701.7142857142857,0.8571428571428571,0.0019347347884929066
llama,seqkd,20,E_math,14,0.025,7,624.0,624.0,0.0,0.0007244199836935457,494.85714285714283,495.14285714285717,0.2857142857142857,0.0013793898892065638
llama,seqkd,20,E_math,14,0.05,7,459.14285714285717,459.2857142857143,0.14285714285714285,0.0014597635489174015,345.14285714285717,345.42857142857144,0.2857142857142857,0.00449058911706614
llama,seqkd,20,E_math,14,0.1,7,300.57142857142856,300.42857142857144,-0.14285714285714285,0.0005401476564076916,213.28571428571428,213.14285714285714,-0.14285714285714285,0.001712720878648119
llama,seqkd,20,E_ood,14,0.01,7,1564.5714285714287,1565.7142857142858,1.1428571428571428,0.0013452087684810241,1341.857142857143,1343.5714285714287,1.7142857142857142,0.002735961827925479
llama,seqkd,20,E_ood,14,0.025,7,1223.7142857142858,1225.2857142857142,1.5714285714285714,0.002300760196235218,991.0,992.7142857142857,1.7142857142857142,0.0038541033804946447
llama,seqkd,20,E_ood,14,0.05,7,926.4285714285714,928.0,1.5714285714285714,0.003393573101053343,716.0,717.4285714285714,1.4285714285714286,0.004888603213005831
llama,seqkd,20,E_ood,14,0.1,7,615.5714285714286,616.8571428571429,1.2857142857142858,0.004240758706147228,460.7142857142857,461.85714285714283,1.1428571428571428,0.006170045655045448
llama,seqkd,40,E_general,14,0.01,7,1610.0,1609.7142857142858,-0.2857142857142857,0.0007254672902594212,1393.5714285714287,1393.7142857142858,0.14285714285714285,0.0013925252540276049
llama,seqkd,40,E_general,14,0.025,7,1282.0,1281.4285714285713,-0.5714285714285714,0.0008515207455595178,1051.0,1050.7142857142858,-0.2857142857142857,0.001904291536061867
llama,seqkd,40,E_general,14,0.05,7,990.8571428571429,990.2857142857143,-0.5714285714285714,0.0011275802798389439,776.7142857142857,776.2857142857143,-0.42857142857142855,0.002646959795721148
llama,seqkd,40,E_general,14,0.1,7,679.7142857142857,679.1428571428571,-0.5714285714285714,0.002121731591138605,518.0,517.2857142857143,-0.7142857142857143,0.0028108096227264542
llama,seqkd,40,E_if,14,0.01,7,1538.2857142857142,1543.7142857142858,5.428571428571429,0.004446747124068441,1313.0,1319.857142857143,6.857142857142857,0.00709893044780644
llama,seqkd,40,E_if,14,0.025,7,1194.0,1200.5714285714287,6.571428571428571,0.006789167535956341,959.7142857142857,966.7142857142857,7.0,0.009694475925090712
llama,seqkd,40,E_if,14,0.05,7,895.4285714285714,902.2857142857143,6.857142857142857,0.009186011396378634,684.8571428571429,691.2857142857143,6.428571428571429,0.013643405988898053
llama,seqkd,40,E_if,14,0.1,7,587.1428571428571,593.1428571428571,6.0,0.012067239833247758,430.42857142857144,435.7142857142857,5.285714285714286,0.01447911308415642
llama,seqkd,40,E_math,14,0.01,7,834.5714285714286,835.1428571428571,0.5714285714285714,0.0015759616511863209,701.1428571428571,701.7142857142857,0.5714285714285714,0.0018533354164091845
llama,seqkd,40,E_math,14,0.025,7,624.1428571428571,624.0,-0.14285714285714285,0.0009862344128200742,494.7142857142857,495.14285714285717,0.42857142857142855,0.002867705939970868
llama,seqkd,40,E_math,14,0.05,7,459.14285714285717,459.2857142857143,0.14285714285714285,0.0021319658208172752,345.2857142857143,345.42857142857144,0.14285714285714285,0.004726356260374358
llama,seqkd,40,E_math,14,0.1,7,300.57142857142856,300.42857142857144,-0.14285714285714285,0.0015580783992941217,213.57142857142858,213.14285714285714,-0.42857142857142855,0.0005099898622525061
llama,seqkd,40,E_ood,14,0.01,7,1562.5714285714287,1565.7142857142858,3.142857142857143,0.0030308364806095655,1340.0,1343.5714285714287,3.5714285714285716,0.004580934832409467
llama,seqkd,40,E_ood,14,0.025,7,1221.857142857143,1225.2857142857142,3.4285714285714284,0.00435831111659716,989.1428571428571,992.7142857142857,3.5714285714285716,0.006880138378991334
llama,seqkd,40,E_ood,14,0.05,7,924.4285714285714,928.0,3.5714285714285716,0.006212470735757779,714.5714285714286,717.4285714285714,2.857142857142857,0.008094073996635
llama,seqkd,40,E_ood,14,0.1,7,613.8571428571429,616.8571428571429,3.0,0.008233663206703799,459.7142857142857,461.85714285714283,2.142857142857143,0.008966547582255251
llama,seqkd,80,E_general,14,0.01,7,1610.2857142857142,1609.7142857142858,-0.5714285714285714,0.0009018252844720508,1393.7142857142858,1393.7142857142858,0.0,0.00170410740648265
llama,seqkd,80,E_general,14,0.025,7,1282.2857142857142,1281.4285714285713,-0.8571428571428571,0.0013270518749353912,1051.0,1050.7142857142858,-0.2857142857142857,0.0032936007831483476
llama,seqkd,80,E_general,14,0.05,7,991.1428571428571,990.2857142857143,-0.8571428571428571,0.0017363332777751838,776.7142857142857,776.2857142857143,-0.42857142857142855,0.004528324512839655
llama,seqkd,80,E_general,14,0.1,7,680.1428571428571,679.1428571428571,-1.0,0.0025335500655606883,518.4285714285714,517.2857142857143,-1.1428571428571428,0.0021105865832134183
llama,seqkd,80,E_if,14,0.01,7,1539.142857142857,1543.7142857142858,4.571428571428571,0.004295836084541785,1313.2857142857142,1319.857142857143,6.571428571428571,0.007222452078384178
llama,seqkd,80,E_if,14,0.025,7,1194.7142857142858,1200.5714285714287,5.857142857142857,0.006779217225221461,960.0,966.7142857142857,6.714285714285714,0.010051808803990746
llama,seqkd,80,E_if,14,0.05,7,896.1428571428571,902.2857142857143,6.142857142857143,0.009369793891588096,685.4285714285714,691.2857142857143,5.857142857142857,0.012837828086656266
llama,seqkd,80,E_if,14,0.1,7,587.8571428571429,593.1428571428571,5.285714285714286,0.01153394688633474,431.0,435.7142857142857,4.714285714285714,0.013229034102271288
llama,seqkd,80,E_math,14,0.01,7,834.0,835.1428571428571,1.1428571428571428,0.0026030666771005156,699.7142857142857,701.7142857142857,2.0,0.004581858468525683
